date,country,platform,channel,installs,base_cpi,CPI,spend,CVR,clicks,CTR,impressions,D7_revenue,D30_revenue,D7_ROAS_pct,D30_ROAS_pct
2026-01-01,JP,Android,Google,39,1.1,1.1731833579237863,45.75,0.1883076095627822,207,0.020052397573272297,10323,37.96,56.93,82.97267759562843,124.43715846994536
2026-01-01,JP,Android,Meta,25,0.95,0.9804773495747815,24.51,0.1318437061911834,190,0.012506463434636524,15192,1.99,12.97,8.119135046919626,52.9171766625867
2026-01-01,JP,Android,TikTok,38,1.35,1.3251328939967324,50.36,0.13377663373931042,284,0.019390017694472277,14647,49.99,55.97,99.26528991262907,111.13979348689436
2026-01-01,JP,iOS,Google,61,1.1,1.3340718375192449,81.38,0.15503148174560336,393,0.018839710430606376,20860,31.96,50.900000000000006,39.27254853772426,62.54608011796511
2026-01-01,JP,iOS,Meta,34,0.95,1.0729637850589158,36.48,0.11813769713326427,288,0.013185867728151241,21842,0.0,5.98,0.0,16.392543859649127
2026-01-01,JP,iOS,TikTok,69,1.35,1.6057563773414476,110.8,0.12315304691884445,560,0.016091255769658523,34802,22.969999999999995,283.9,20.73104693140794,256.2274368231047
2026-01-01,US,Android,Google,25,1.1,1.0096668614385569,25.24,0.17897982111394392,140,0.0194780361716428,7188,0.0,0.0,0.0,0.0
2026-01-01,US,Android,Meta,54,0.95,0.8239860312704749,44.5,0.12468463783747882,433,0.012107232124394124,35764,0.0,21.97,0.0,49.37078651685393
2026-01-01,US,Android,TikTok,59,1.35,1.2766631179184136,75.32,0.12381441975024608,477,0.01760645158830363,27092,0.0,9.99,0.0,13.263409453000532
2026-01-01,US,iOS,Google,41,1.1,1.0867205504269541,44.56,0.20636764698322638,199,0.018783150738031704,10595,22.979999999999997,22.979999999999997,51.57091561938958,51.57091561938958
2026-01-01,US,iOS,Meta,63,0.95,0.9316279094197273,58.69,0.12980569751688686,485,0.013893214930379936,34909,2.99,2.99,5.094564661782246,5.094564661782246
2026-01-01,US,iOS,TikTok,70,1.35,1.4165690055487687,99.16,0.12119205841055268,578,0.018570443956944186,31125,16.97,18.96,17.113755546591367,19.120613150463896
2026-01-02,JP,Android,Google,49,1.1,1.0818439128051702,53.01,0.1639652808226713,299,0.020022795699609627,14933,14.99,14.99,28.277683455951706,28.277683455951706
2026-01-02,JP,Android,Meta,32,0.95,1.033874814539617,33.08,0.12589514032295565,254,0.012580829057113987,20189,36.97,122.91999999999999,111.75937122128174,371.584038694075
2026-01-02,JP,Android,TikTok,36,1.35,1.3241289922853723,47.67,0.150438101611063,239,0.016580549321766672,14414,57.97,72.93,121.60688063771762,152.98930144745125
2026-01-02,JP,iOS,Google,64,1.1,1.4236807607896322,91.12,0.1744795648971632,367,0.019955957354880812,18390,70.96000000000001,182.93,77.87532923617209,200.75724319578575
2026-01-02,JP,iOS,Meta,37,0.95,1.121395003566614,41.49,0.12554803757982297,295,0.013372418183604125,22060,5.99,108.97,14.437213786454567,262.64160038563506
2026-01-02,JP,iOS,TikTok,68,1.35,1.565100165516669,106.43,0.1227731908813047,554,0.01677654223656918,33022,46.96,99.87,44.12289767922578,93.83632434463966
2026-01-02,US,Android,Google,35,1.1,1.0461877819877088,36.62,0.17741746967242514,197,0.021771435437119468,9049,9.99,44.97,27.280174767886407,122.801747678864
2026-01-02,US,Android,Meta,63,0.95,0.87175489989895,54.92,0.11573684001157271,544,0.014344516914424652,37924,2.99,12.98,5.444282592862345,23.634377276037874
2026-01-02,US,Android,TikTok,70,1.35,1.264512927729822,88.52,0.1384316925916812,506,0.017903091356654608,28263,28.96,43.95,32.71577044735653,49.649796656122916
2026-01-02,US,iOS,Google,46,1.1,1.1395630305963285,52.42,0.16966245894466866,271,0.01980796575071539,13681,4.99,9.98,9.519267455169784,19.038534910339568
2026-01-02,US,iOS,Meta,61,0.95,1.0383728498099838,63.34,0.12660942256052962,482,0.011174278581234851,43135,0.0,69.97,0.0,110.46731922955478
2026-01-02,US,iOS,TikTok,71,1.35,1.4796043404618096,105.05,0.140844107874968,504,0.017350820592835867,29048,16.96,68.89,16.14469300333175,65.57829604950024
2026-01-03,JP,Android,Google,36,1.1,1.0387985817907393,37.4,0.176153817384945,204,0.020175549252087012,10111,32.98,35.97,88.18181818181817,96.17647058823529
2026-01-03,JP,Android,Meta,20,0.95,0.9479976444950866,18.96,0.12684139526369284,158,0.011320613676927497,13957,0.0,4.99,0.0,26.31856540084388
2026-01-03,JP,Android,TikTok,45,1.35,1.2092778414382903,54.42,0.13996156348889663,322,0.01631699591671561,19734,74.97,81.95,137.76185226019845,150.5880191106211
2026-01-03,JP,iOS,Google,64,1.1,1.3167940932115179,84.27,0.19293391439233543,332,0.021174717580073672,15679,11.98,50.94,14.216209801827462,60.44855820576718
2026-01-03,JP,iOS,Meta,34,0.95,1.0615833342394658,36.09,0.11794359915015531,288,0.013114529695864012,21960,0.0,121.96,0.0,337.9329454142421
2026-01-03,JP,iOS,TikTok,63,1.35,1.5933364911906336,100.38,0.14514613739009116,434,0.013979066402976005,31046,34.98,35.97,34.84757919904363,35.833831440526005
2026-01-03,US,Android,Google,37,1.1,0.9975395650429699,36.91,0.18887096685062024,196,0.020080805513387767,9761,99.99,140.95,270.9021945272284,381.8748306691953
2026-01-03,US,Android,Meta,49,0.95,0.9632654578920692,47.2,0.12355377018532401,397,0.012815390884608644,30978,15.98,25.97,33.85593220338983,55.02118644067796
2026-01-03,US,Android,TikTok,53,1.35,1.1398073529864834,60.41,0.15151530513212821,350,0.01610726900128988,21729,0.0,0.0,0.0,0.0
2026-01-03,US,iOS,Google,42,1.1,1.0559741573067238,44.35,0.1688939617245715,249,0.02432605199501906,10236,0.0,0.0,0.0,0.0
2026-01-03,US,iOS,Meta,73,0.95,1.0395376573533945,75.89,0.11874918436625592,615,0.013402859294309942,45886,9.99,31.97,13.16378969561207,42.126762419291076
2026-01-03,US,iOS,TikTok,73,1.35,1.4395242913829325,105.09,0.13736831901715216,531,0.01598479711891333,33219,11.98,69.94,11.39975259301551,66.55247882767151
2026-01-04,JP,Android,Google,38,1.1,1.28018,48.65,0.17898700025763406,212,0.02184060325259072,9707,29.979999999999997,41.96,61.62384378211716,86.24871531346352
2026-01-04,JP,Android,Meta,26,0.95,0.9639395423989099,25.06,0.11243370024941764,231,0.012188306576466584,18953,0.0,0.0,0.0,0.0
2026-01-04,JP,Android,TikTok,49,1.35,1.3169906348039382,64.53,0.13741809613905595,357,0.016350741276702718,21834,12.96,50.93,20.0836820083682,78.92453122578645
2026-01-04,JP,iOS,Google,46,1.1,1.11078,51.1,0.17119699505912828,269,0.016514425621214315,16289,0.0,15.98,0.0,31.272015655577302
2026-01-04,JP,iOS,Meta,32,0.95,1.1476662792574572,36.73,0.12527061221075775,255,0.012635170464739179,20182,6.98,146.94,19.003539341138037,400.0544514021236
2026-01-04,JP,iOS,TikTok,63,1.35,1.4657915628126252,92.34,0.15167702882324222,415,0.014542885427858405,28536,8.96,21.93,9.703270521983972,23.749187784275502
